ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
1,Time & Temperature,2,8,Un manipulador de alimentos verifica la temperatura de una olla de sopa y encuentra que está a 120°F después de recalentar. ¿Qué debe hacer?,Servirla de inmediato ya que está suficientemente caliente,Continuar calentando hasta que alcance 165°F,Agregar agua fría para enfriarla y recalentar,2,El alimento recalentado debe alcanzar una temperatura interna de 165°F en 2 horas para ser seguro. 120°F todavía está dentro de la zona de peligro de temperatura (41°F - 135°F).
2,Time & Temperature,1,8,Llega una entrega de pollo fresco a su puerta trasera. Verifica la temperatura y marca 50°F. ¿Cuál es la acción correcta?,Aceptar la entrega y refrigerar de inmediato,Rechazar la entrega y devolverla,Aceptarla y usarla dentro de 24 horas,2,Las aves de corral frescas deben recibirse a 41°F o menos. Una temperatura de 50°F indica que se rompió la cadena de frío y el producto debe rechazarse.
3,Time & Temperature,3,8,Una bandeja de lasaña ha estado en la zona de peligro de temperatura durante 3 horas y 45 minutos. Un cliente la pide. ¿Qué hace?,Servirla - aún no han pasado 4 horas,Recalentarla a 165°F y luego servirla,Desecharla de inmediato,3,"La mayoría de los códigos de salud requieren desechar alimentos que han estado en la zona de peligro cerca o más de 4 horas. Ante la duda, deséchalo."
4,Cross-Contamination,1,8,Un manipulador de alimentos termina de cortar pollo crudo en una tabla y comienza a rebanar tomates en la misma tabla. ¿Cuál es el problema?,No hay problema si la tabla parece limpia,Esto puede causar contaminación cruzada y enfermar a los clientes,Los tomates deben cortarse antes que el pollo,2,Las aves de corral crudas llevan patógenos como la Salmonella. Usar la misma tabla sin lavar y sanitizar transfiere esos patógenos a alimentos listos para comer como los tomates.
5,Cross-Contamination,2,8,Un manipulador de alimentos está almacenando alimentos en el cuarto frío. ¿Dónde debe colocarse la carne molida cruda respecto a los alimentos listos para comer?,En el estante encima de los alimentos listos para comer,En el estante debajo de los alimentos listos para comer,En el mismo estante separados por un divisor,2,La carne molida cruda siempre debe almacenarse debajo de los alimentos listos para comer para prevenir la contaminación por goteo. El orden de almacenamiento se basa en la temperatura mínima de cocción interna.
6,Cross-Contamination,3,8,Un manipulador de alimentos con un pequeño corte en la mano está preparando ensaladas. Se ha lavado las manos. ¿Qué más debe hacer?,Nada - las manos lavadas son suficientes,Cubrir el corte solo con un vendaje,Cubrir el corte con un vendaje y usar un guante de un solo uso encima,3,Un vendaje solo no es suficiente. Debe usarse un guante de un solo uso sobre el vendaje para evitar que caiga en los alimentos y crear una barrera contra patógenos.
7,Personal Hygiene,1,8,Un manipulador de alimentos regresa de un descanso en el baño. ¿Qué es lo primero que debe hacer antes de regresar a la preparación de alimentos?,Ponerse guantes,Lavarse las manos a fondo,Sanitizar la superficie de preparación,2,El lavado de manos siempre es el primer paso después de usar el baño. Los guantes no reemplazan el lavado de manos - las manos deben estar limpias antes de ponerse guantes.
8,Personal Hygiene,2,8,Un manipulador de alimentos se siente enfermo con vómitos y diarrea pero se presenta a su turno porque necesita el dinero. ¿Qué debe hacer el gerente?,Permitirle trabajar si usa guantes,Restringirlo a tareas sin contacto con alimentos,Excluirlo de la operación completamente,3,Los vómitos y la diarrea son síntomas que requieren exclusión inmediata de la operación de servicio de alimentos. Estos síntomas pueden indicar una enfermedad altamente contagiosa que puede contaminar los alimentos.
9,Personal Hygiene,2,8,Un manipulador de alimentos está a punto de manipular alimentos listos para comer. Lleva joyería en las manos y muñecas. ¿Qué debe hacer?,Quitarse toda la joyería de manos y muñecas antes de manipular alimentos,Mantener la joyería siempre que se laven las manos,Cubrir la joyería con guantes,1,La joyería de manos y muñecas debe quitarse antes de manipular alimentos. La joyería puede albergar bacterias y puede caer en los alimentos. Un anillo de banda simple es la única excepción en algunas jurisdicciones.
10,Receiving & Storage,1,8,Llegan conservas a su instalación con varias latas hinchadas y abultadas. ¿Qué debe hacer?,Aceptarlas y usarlas de inmediato,Rechazar toda la entrega,Aceptar solo las latas no hinchadas,2,Las latas hinchadas o abultadas son señal de actividad de Clostridium botulinum. Toda la entrega debe rechazarse ya que las latas comprometidas pueden contaminar el producto circundante.
