ID,Category,Subcategory,Difficulty,Mode,OrderIndex,ConceptTitle,Content,KeyPoints
1,Time & Temperature,Cooling,Hard,Standard,1,Two-Stage Cooling,TCS food must cool from 135°F to 70°F within 2 hours then from 70°F to 41°F within 4 more hours for a total cooling window of 6 hours.,135°F to 70°F within 2 hours|70°F to 41°F within 4 more hours|Total window: 6 hours
2,Time & Temperature,Cooling,Hard,Assessment,1,Two-Stage Cooling,You missed cooling questions. The rule is two stages — 135 to 70 in 2 hours then 70 to 41 in 4 more hours. Total window is 6 hours.,
3,Time & Temperature,Cooling,Hard,Recovery,1,Two-Stage Cooling,Cooling has two steps. Think of it as a race with two legs. First leg — get from 135 down to 70 in 2 hours. Second leg — finish to 41 in 4 more hours. Miss either leg and you start over.,
4,Time & Temperature,Cooling,Hard,Standard,2,Cooling Methods,Approved rapid cooling methods include ice baths ice paddles shallow pans and blast chillers. The goal is to maximize surface area and move heat out of the food as fast as possible.,Ice baths|Ice paddles|Shallow pans|Blast chillers|Goal: maximize surface area
5,Time & Temperature,Cooling,Hard,Assessment,2,Cooling Methods,When cooling questions come up think surface area. Shallow pans ice baths and blast chillers all work because they expose more food to cold. Deep pots on a counter do not.,
6,Time & Temperature,Cooling,Hard,Recovery,2,Cooling Methods,Here is the secret to cooling — the more surface area you expose the faster it cools. A shallow pan beats a deep pot every time. An ice bath beats a walk-in cooler every time. Think thin and cold.,
7,Time & Temperature,Cooling,Medium,Standard,3,Cooling Failure Response,If food does not reach 70°F within the first 2 hours it must be reheated to 165°F and the cooling process restarted. You cannot simply continue cooling food that has failed the first stage.,Food fails stage 1: reheat to 165°F|Restart cooling process|Cannot continue cooling failed food
8,Time & Temperature,Cooling,Medium,Assessment,3,Cooling Failure Response,If the first cooling stage fails — reheat to 165 and start over. Continuing to cool food that missed the 2-hour window is never correct on the exam.,
9,Time & Temperature,Cooling,Medium,Recovery,3,Cooling Failure Response,If your food did not cool fast enough in the first two hours do not just keep going. You have to reheat it all the way to 165 and start the cooling process from scratch. Think of it as resetting the clock.,
10,Time & Temperature,Date Marking,Hard,Standard,4,7-Day Rule,Ready-to-eat TCS food held at 41°F or below must be date marked and discarded after 7 days. The day of preparation counts as day one.,Ready-to-eat TCS food held at 41°F or below|Must be date marked|Discard after 7 days|Day of prep = Day 1
11,Time & Temperature,Date Marking,Hard,Assessment,4,7-Day Rule,Date marking questions always involve the number 7. The prep day is day one. Count 7 days including the prep day and that is your discard date.,
12,Time & Temperature,Date Marking,Hard,Recovery,4,7-Day Rule,Every ready-to-eat food in your cooler needs a label that says when to throw it out. Count 7 days starting with the day you made it. Day one is today. Day seven is the last day you can serve it.,
13,Time & Temperature,Date Marking,Medium,Standard,5,What Requires Date Marking,Any ready-to-eat TCS food held longer than 24 hours must be date marked. This includes cooked proteins sliced deli meats opened dairy products and prepared salads.,Any ready-to-eat TCS food held longer than 24 hours|Must be date marked|Cooked proteins
