ID,Category,Fact
1,Time & Temperature,La zona de peligro de temperatura para alimentos TCS está entre 41°F y 135°F.
2,Time & Temperature,Los alimentos TCS deben enfriarse de 135°F a 70°F en 2 horas.
3,Time & Temperature,"Al alcanzar 70°F, el alimento debe continuar enfriándose a 41°F en 4 horas más."
4,Time & Temperature,La ventana total de enfriamiento para alimentos TCS es de 6 horas de 135°F a 41°F.
5,Time & Temperature,Los alimentos TCS calientes deben mantenerse a 135°F o más en todo momento.
6,Time & Temperature,Los alimentos TCS fríos deben mantenerse a 41°F o menos en todo momento.
7,Time & Temperature,Las aves de corral deben alcanzar una temperatura interna mínima de cocción de 165°F por 15 segundos.
8,Time & Temperature,La carne molida debe alcanzar una temperatura interna mínima de cocción de 155°F por 15 segundos.
9,Time & Temperature,"La carne de res entera, cerdo y mariscos deben alcanzar 145°F por 15 segundos."
10,Time & Temperature,Todos los alimentos TCS recalentados para servicio deben alcanzar 165°F por 15 segundos.
11,Time & Temperature,El alimento recalentado en microondas debe alcanzar 165°F y reposar tapado por 2 minutos.
12,Time & Temperature,Las carnes rellenas y aves rellenas deben alcanzar 165°F porque el relleno contacta proteínas crudas.
13,Time & Temperature,Los alimentos TCS listos para comer mantenidos a 41°F o menos pueden conservarse un máximo de 7 días.
14,Time & Temperature,Los alimentos TCS que han estado en la zona de peligro más de 4 horas acumuladas deben desecharse.
15,Time & Temperature,"Las bandejas poco profundas, baños de hielo y enfriadores de ráfaga son métodos aprobados de enfriamiento rápido."
16,Cross-Contamination,La contaminación cruzada ocurre cuando los patógenos se transfieren de un alimento o superficie a otro.
17,Cross-Contamination,Las aves de corral crudas siempre deben almacenarse en el estante más bajo del enfriador.
18,Cross-Contamination,Los alimentos en el enfriador se almacenan de arriba a abajo según la temperatura mínima de cocción requerida.
19,Cross-Contamination,Los alimentos listos para comer siempre deben almacenarse por encima de todas las proteínas crudas en el refrigerador.
20,Cross-Contamination,El contacto cruzado se refiere específicamente a la transferencia de proteínas alérgenas de un alimento a otro.
21,Cross-Contamination,Incluso una cantidad mínima de un alérgeno puede desencadenar una reacción potencialmente mortal en una persona sensible.
22,Cross-Contamination,"Los nueve alérgenos alimentarios principales son leche, huevos, pescado, mariscos, nueces de árbol, cacahuates, trigo, soya y sésamo."
23,Cross-Contamination,Las tablas de cortar codificadas por colores ayudan a prevenir la contaminación cruzada entre diferentes tipos de alimentos.
24,Cross-Contamination,Los guantes deben cambiarse y las manos lavarse al cambiar entre alimentos crudos y listos para comer.
25,Cross-Contamination,Las superficies de contacto con alimentos deben limpiarse y sanitizarse inmediatamente después del contacto con una proteína cruda.
26,Cross-Contamination,Las comidas sin alérgenos deben prepararse primero o en equipo completamente separado para evitar el contacto cruzado.
27,Cross-Contamination,Una rebanadora de alimentos en uso continuo debe limpiarse y sanitizarse cada 4 horas.
28,Cross-Contamination,"Los productos químicos siempre deben almacenarse en recipientes originales etiquetados, lejos de todos los alimentos y equipos."
29,Personal Hygiene,Los manipuladores de alimentos deben lavarse las manos durante un mínimo de 20 segundos con jabón y agua tibia.
30,Personal Hygiene,"Las manos deben lavarse después de usar el baño, manipular carne cruda, tocarse la cara y manejar basura."
31,Personal Hygiene,"El sanitizante de manos solo puede usarse después del lavado de manos adecuado — es un complemento, no un sustituto."
32,Personal Hygiene,El lavado de manos debe realizarse solo en el lavamanos designado — nunca en un fregadero de preparación o de platos.
33,Personal Hygiene,El agua para el lavado de manos debe estar a una temperatura mínima de 100°F.
