ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty
1,3-501.16,¿Cuál es la temperatura interna mínima para mantener en caliente los alimentos TCS?,125°F,130°F,140°F,135°F,4,Time & Temperature,Hot Holding,Los alimentos TCS deben mantenerse a 135°F o más para evitar la zona de peligro de temperatura donde las bacterias se multiplican rápidamente.,0,2
2,3-501.14,¿En cuánto tiempo debe enfriarse el alimento de 135°F a 70°F?,En 1 hora,En 2 horas,En 4 horas,En 3 horas,2,Time & Temperature,Cooling,La primera etapa de enfriamiento requiere que el alimento baje de 135°F a 70°F en 2 horas para limitar el crecimiento bacteriano.,0,2
3,3-501.14,"Después de alcanzar 70°F, ¿cuánto tiempo tiene para enfriar el alimento a 41°F?",3 horas,4 horas,2 horas,6 horas,2,Time & Temperature,Cooling,"Después de alcanzar 70°F, el alimento debe llegar a 41°F o menos en las próximas 4 horas, completando la ventana total de enfriamiento de 6 horas.",0,2
4,3-501.18,¿Por cuánto tiempo puede mantenerse el alimento TCS refrigerado a 41°F o menos?,3 días,5 días,10 días,7 días,4,Time & Temperature,Cold Holding,Los alimentos TCS ready-to-eat mantenidos a 41°F o menos pueden conservarse hasta 7 días antes de ser descartados.,0,3
5,3-501.19,¿Por cuánto tiempo puede mantenerse el alimento frío sin control de temperatura si comienza a 41°F o menos?,8 horas,4 horas,2 horas,6 horas,4,Time & Temperature,Time as Control,El alimento frío que comienza a 41°F o menos puede mantenerse sin control de temperatura hasta 6 horas siempre que no supere los 70°F.,0,2
6,3-501.17,¿Qué debe incluirse en un alimento TCS ready-to-eat con fecha marcada?,El nombre del empleado que lo preparó,La ubicación del anaquel de almacenamiento,La fecha de uso máximo,La fecha en que fue preparado,3,Time & Temperature,Date Marking,El marcado de fecha requiere una fecha de uso máximo para que el personal sepa el último día seguro para servir el alimento y evitar servir productos vencidos.,0,2
7,3-401.11,¿Cuál es la temperatura interna mínima de cocción para las aves de corral?,165°F por 15 segundos,150°F por 15 segundos,145°F por 15 segundos,155°F por 15 segundos,1,Time & Temperature,Cooking,Las aves de corral deben alcanzar 165°F por al menos 15 segundos para destruir Salmonella y otros patógenos comúnmente presentes en pollo y pavo.,0,3
8,3-401.11,¿Cuál es la temperatura interna mínima de cocción para la carne molida?,165°F por 15 segundos,150°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,3,Time & Temperature,Cooking,La carne molida debe alcanzar 155°F por 15 segundos porque el proceso de molienda dispersa los patógenos de la superficie a todo el producto.,0,3
9,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los mariscos?,165°F por 15 segundos,150°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,4,Time & Temperature,Cooking,Los mariscos deben alcanzar 145°F por 15 segundos para destruir patógenos como Vibrio y parásitos comunes en pescados y mariscos.,0,3
10,3-403.11,¿Qué debe hacer si el alimento recalentado no alcanza 165°F en 2 horas?,Mantenerlo a 135°F y monitorearlo de cerca,Recalentarlo nuevamente a 165°F,Descartarlo y preparar alimento fresco,Reducir el tamaño de la porción y volver a intentarlo,2,Time & Temperature,Reheating,"Si el recalentamiento se detiene, debe volver a recalentar a 165°F. Mantenerlo a 135°F o descartarlo no son las respuestas correctas.",0,2
11,3-501.15,¿Cuál es el mejor método para enfriar grandes cantidades de sopa?,Dejarla en el mostrador hasta que deje de echar vapor,Usar un baño de hielo y revolver frecuentemente,Colocar la olla tapada directamente en el cuarto frío,Dividir en porciones más pequeñas y refrigerar sin tapa,2,Time & Temperature,Cooling,"Un baño de hielo combinado con agitación elimina el calor de todas las partes de la sopa rápidamente, ayudando a enfriarla a través de la zona de peligro.",0,2
12,3-501.16,¿Cuánto tiempo máximo puede mantenerse el alimento TCS caliente por debajo de 135°F antes de descartarlo?,8 horas,6 horas,2 horas,4 horas,4,Time & Temperature,Hot Holding,El alimento TCS caliente que cae por debajo de 135°F entra en la zona de peligro. Debe descartarse después de 4 horas acumuladas en la zona de peligro.,0,2
13,3-501.16,¿Qué debe hacer si el alimento mantenido en caliente baja a 120°F?,Servirlo inmediatamente antes de que se enfríe más,Recalentarlo a 165°F por 15 segundos antes de devolverlo al equipo de mantenimiento,Revolverlo y continuar manteniéndolo a la temperatura actual,Agregar agua caliente a la bandeja para elevar la temperatura,2,Time & Temperature,Hot Holding,El alimento que ha bajado a 120°F debe recalentarse a 165°F por 15 segundos antes de volver al equipo de mantenimiento en caliente. Agregar agua caliente o revolver no es suficiente.,0,2
14,3-401.11,¿Cuál es la temperatura interna mínima de cocción para la carne rellena?,165°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,150°F por 15 segundos,1,Time & Temperature,Cooking,La carne rellena requiere 165°F porque el relleno puede albergar patógenos de la carne cruda que lo rodea y debe alcanzar la misma temperatura que las aves de corral.,0,3
15,3-401.11,¿Cuál es la temperatura interna mínima de cocción para las carnes inyectadas?,150°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,165°F por 15 segundos,2,Time & Temperature,Cooking,"Las carnes inyectadas requieren 155°F porque el proceso de inyección lleva patógenos de la superficie al interior de la carne, igual que el proceso de molienda.",0,3
16,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los huevos cocinados y servidos inmediatamente?,165°F por 15 segundos,155°F por 15 segundos,135°F por 15 segundos,145°F por 15 segundos,4,Time & Temperature,Cooking,"Los huevos cocinados y servidos inmediatamente deben alcanzar 145°F por 15 segundos, lo que destruye la Salmonella mientras permite una yema ligeramente líquida si se desea.",0,3
17,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los huevos mantenidos para el servicio?,155°F por 15 segundos,165°F por 15 segundos,145°F por 15 segundos,135°F por 15 segundos,1,Time & Temperature,Cooking,Los huevos mantenidos para el servicio requieren 155°F porque estarán en equipo de mantenimiento en lugar de ser servidos inmediatamente después de cocinarse.,0,3
18,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los cortes enteros de res?,165°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,135°F por 15 segundos,3,Time & Temperature,Cooking,"Los cortes enteros de res deben alcanzar 145°F por 15 segundos. Como los patógenos se encuentran principalmente en la superficie y el interior permanece intacto, esta temperatura es suficiente.",0,3
19,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los asados de res?,145°F mantenido por 4 minutos,155°F por 15 segundos,165°F por 15 segundos,135°F por 15 segundos,1,Time & Temperature,Cooking,Los asados pueden cocinarse a 145°F pero deben mantenerse a esa temperatura durante 4 minutos para asegurar que el calor penetre el interior denso y destruya los patógenos.,0,3
20,3-401.11,¿Cuál es la temperatura interna mínima de cocción para los animales de caza criados comercialmente?,135°F por 15 segundos,165°F por 15 segundos,155°F por 15 segundos,145°F por 15 segundos,3,Time & Temperature,Cooking,"Los animales de caza criados comercialmente requieren 155°F por 15 segundos debido a la posible contaminación por patógenos durante el procesamiento, similar a la carne molida.",0,3
