ID,Type,Category,Content,MustHave
1,Consejo,General,"Cuando veas la palabra ""inmediatamente"" en una pregunta, casi siempre apunta a la respuesta correcta. El examen ServSafe valora la urgencia.",1
2,Consejo,General,Lee todas las opciones de respuesta antes de seleccionar una. El examen frecuentemente incluye respuestas parcialmente correctas pero que no son la mejor respuesta.,1
3,Consejo,General,"Cuando dos respuestas parecen correctas, pregúntate cuál es más completa o más específica. Esa generalmente es la correcta.",0
4,Consejo,General,"El examen no trata de engañarte con datos oscuros. Si una respuesta suena extrema o inusual, probablemente es incorrecta.",1
5,Consejo,General,Las preguntas sobre qué hacer primero casi siempre tienen la misma respuesta — detener la práctica insegura y corregirla de inmediato.,0
6,Consejo,General,"Si una pregunta pregunta qué debe hacer un gerente, la respuesta casi siempre involucra capacitar, corregir o reportar — no ignorar.",1
7,Consejo,General,"El examen favorece la respuesta más cautelosa. Ante la duda, elige la opción que mejor proteja al cliente.",1
8,Trampa,General,"El examen ofrecerá ""enjuagar y reutilizar"" como respuesta para artículos contaminados. Nunca es correcta. Los alimentos contaminados y los artículos de un solo uso deben desecharse.",0
9,Trampa,General,"El examen ofrece ""continuar trabajando con guantes"" como distractor cuando un manipulador está enfermo. Los guantes no hacen seguro trabajar a un manipulador enfermo.",0
10,Trampa,General,No confundas limpiar con sanitizar. El examen los trata como dos pasos completamente separados. Limpiar solo nunca es suficiente para superficies de contacto con alimentos.,0
11,AidaMemoria,General,Para las temperaturas de cocción recuerda la frase Aves Molida Entera — 165 155 145. Cada paso hacia abajo es 10 grados.,0
12,AidaMemoria,General,"Para recordar las 5 enfermedades de notificación obligatoria piensa en: Norovirus, Hepatitis A, Salmonella, Shigella y E. coli O157:H7.",0
13,Escenario,General,He entrado a cocinas donde el gerente pensaba que el alimento era seguro porque se veía y olía bien. Los patógenos son invisibles e inodoros. La apariencia no significa nada.,0
14,Escenario,General,Una de las fallas de inspección más comunes que he visto es un lavamanos bloqueado por una cubeta o un balde. Mantén ese lavamanos despejado cada minuto del día.,0
15,Consejo,Time & Temperature,"Cuando una pregunta sea sobre enfriamiento, piensa siempre en dos etapas — 135 a 70 en 2 horas, luego 70 a 41 en 4 horas más. Escríbelo en tu papel borrador antes del examen.",0
16,Consejo,Time & Temperature,Mantenimiento caliente es 135 y más. Mantenimiento frío es 41 y menos. La zona de peligro es todo lo que está en medio. Esos tres números anclan casi todas las preguntas de tiempo y temperatura.,1
17,Consejo,Time & Temperature,La temperatura de recalentamiento siempre es 165 sin importar la temperatura original de cocción. No dejes que el examen te confunda con la temperatura de cocción original.,0
18,Trampa,Time & Temperature,El examen ofrecerá 165°F como respuesta correcta para la temperatura de cocción de carne molida. No lo es. La carne molida es 155°F por 15 segundos. 165 es para aves y artículos rellenos.,0
19,Trampa,Time & Temperature,El examen sugerirá remover o agregar líquido caliente al alimento que ha caído por debajo de 135°F. Ninguna es una acción correctiva aprobada. El alimento debe recalentarse a 165°F.,0
